scientific_name,island_special,body_length,SpawnLoc,Young_site,Adult_site,mature_period,mate_month,parent_exist,fert_mode, snout-vent length,hindlimb length,interorbital distance,activity time,TAIL
Leptobrachium leishanense,0,76.25,水栖,静水和激流,半水栖,0,11,0,0,74.3,26.9,9.45,2,0
Leptobrachium liui,0,75.25,水栖,急流,陆栖,,11~12,,,,,,,
Leptobrachium promustache,0,58.75,水栖,静水和激流,半水栖,0,11,0,0,58.9,24.4,7.9,2,0
Leptobrachium tengchongense,0,46.6,水栖,,半水栖,,,,0,47.9,19.5,6.4,2,0
Megophrys(Atympanophrys) gigantica,0,103.25,水栖,静水和激流,水栖,,3~4,0,0,,,,,
Megophrys(Atympanophrys) nankiangensis,0,49,水栖,静水和激流,水栖,,,0,0,,,,,
Megophrys(Atympanophrys) shapingensis,0,85.5,水栖,静水和激流,半水栖,,4~5,0,0,,,,,
Megophrys(Atympanophrys) wawuensis,0,43.5,,静水,半水栖,,5,,,,,,,
Megophrys(Boulenophrys) qianbeiensis,0,53.75,,静水和激流,水栖,,,,,,,,,
Megophrys(Boulenophrys) tuberogranulata,0,43.83,,,半水栖,,6~8,,,,,,,
Megophrys(Boulenophrys) acuta,0,30.45,,,半水栖,,11~6,,,,,,,
Megophrys(Boulenophrys) baolongensis,0,43.5,水栖,静水和激流,半水栖,0,7,0,0,,,,,
Megophrys(Boulenophrys) binchuanensis,0,37.75,水栖,静水和激流,半水栖,0,5~6,0,0,,,,,
Megophrys(Boulenophrys) binlingensis,0,48,,急流,半水栖,,5,,,,,,,
Megophrys(Boulenophrys) boettgeri,0,40,水栖,静水和激流,半水栖,,6~8,0,0,,,,,
Megophrys(Boulenophrys) brachykolos,0,38.5,水栖,静水和激流,半水栖,,8,0,0,,,,,
Megophrys(Boulenophrys) caudoprocta,0,77.5,水栖,静水和激流,陆栖,,8,0,0,,,,,
Megophrys(Boulenophrys) cheni,0,30.4,,,,,,,,,,,,
Megophrys(Boulenophrys) daweimontis,0,39.25,水栖,静水和激流,陆栖,,4,0,0,,,,,
Megophrys(Boulenophrys) dongguanensis,0,34.75,,,半水栖,,12~4,,,,,,,
Megophrys(Boulenophrys) huangshanensis,0,41.5,水栖,静水和激流,半水栖,0,5~7,0,0,,,,,
Megophrys(Boulenophrys) insularis,1,43.05,,,陆栖,,,,,,,,,
Megophrys(Boulenophrys) jingdongensis,0,59.5,水栖,静水和激流,半水栖,,6,0,0,,,,,
Megophrys(Boulenophrys) jinggangensis,0,37.95,,,,,~9,,,,,,,
Megophrys(Boulenophrys) jiulianensis,0,33.975,,,半水栖,,3~7,,,,,,,
Megophrys(Boulenophrys) kuatunensis,0,32.5,水栖,静水和激流,半水栖,,,0,0,,,,,
Megophrys(Boulenophrys) leishanensis,0,38.425,水栖,静水和激流,半水栖,1,,0,0,,,,,
Megophrys(Boulenophrys) liboensis,0,64.895,,,半水栖,,,,,,,,,
Megophrys(Boulenophrys) lini,0,37.675,,,半水栖,,,,,,,,,
Megophrys(Boulenophrys) lishuiensis,0,35.675,,静水和激流,,,4~8,,,,,,,
Megophrys(Boulenophrys) lushuiensis,0,32.9,,,,,9,,,,,,,
Megophrys(Boulenophrys) minor,0,40.75,水栖,静水和激流,半水栖,,5~12,0,0,,,,,
Megophrys(Boulenophrys) mirabilis,0,65.125,,静水和激流,水栖,,6~9,,,,,,,
Megophrys(Boulenophrys) mufumontana,0,33.375,,,半水栖,,,,,,,,,
Megophrys (Boulenophrys) nankunensis,0,36.525,,,半水栖,,,,,,,,,
Megophrys (Boulenophrys) nanlingensis,0,33.9,,,,,8~12,,,,,,,
Megophrys (Boulenophrys) obesa,0,37.475,,,,,,,,,,,,
Megophrys (Boulenophrys) ombrophila,0,,,,,,,,,,,,,
Megophrys (Boulenophrys) omeimontis,0,64,水栖,静水和激流,半水栖,,4~8,0,0,,,,,
Megophrys (Boulenophrys) palpebralespinosa,0,37,水栖,静水和激流,半水栖,,,0,0,,,,,
Megophrys (Boulenophrys) rubrimera,0,28.6,,,,,,,,,,,,
Megophrys (Boulenophrys) sangzhiensis,0,54.7,水栖,静水和激流,半水栖,,8,0,0,,,,,
Megophrys (Boulenophrys) sanmingensis,0,28.875,,,半水栖,,4~6,,,,,,,
Megophrys (Boulenophrys) shimentaina,0,29.3,,静水和激流,水栖,,4~8,,,,,,,
Megophrys (Boulenophrys) shuichengensis,0,113,水栖,静水和激流,半水栖,0,5~7,0,0,,,,,
Megophrys (Boulenophrys) spinata,0,52.5,水栖,静水和激流,半水栖,,6~7,0,0,,,,,
Megophrys (Boulenophrys) tongboensis,0,29,,,,,8,,,,,,,
Megophrys (Boulenophrys) wugongensis,0,36.6,,,半水栖,,5,,,,,,,
Megophrys (Boulenophrys) wuliangshanensis,0,35.5,水栖,静水和激流,半水栖,,5~6,0,0,,,,,
Megophrys (Boulenophrys) wushanensis,0,35.5,水栖,静水和激流,半水栖,,6,0,0,,,,,
Megophrys (Boulenophrys) xiangnanensis,0,42.35,,静水和激流,半水栖,,5~7,,,,,,,
Megophrys (Boulenophrys) yangmingensis,0,40.175,,静水和激流,水栖,,6~9,,,,,,,
Megophrys (Boulenophrys)yaoshanensis,0,28.65,,,,,,,,,,,,
Megophrys(Boulenophrys)yingdeensis,0,,,,,,,,,,,,,
Megophrys(Boulenophrys)yunkaiensis,0,,,,,,,,,,,,,
Megophrys (Brachytarsophrys) platyparietus,0,112.75,,,水栖,,,1,,,,,,
Megophrys (Brachytarsophrys) carinense,0,122.25,水栖,静水和激流,半水栖,,3~5,0,0,,,,,
Megophrys (Brachytarsophrys) chuannanensis,0,100,水栖,静水和激流,半水栖,,5,0,0,,,,,
Megophrys (Brachytarsophrys) feae,0,96.25,水栖,静水和激流,半水栖,,5~6,0,0,,,,,
Megophrys (Brachytarsophrys) orientalis,0,84.175,,静水和激流,水栖,,8~9,,,,,,,
Megophrys (Brachytarsophrys) popei,0,81.65,,,,,,,,,,,,
Megophrys (Ophryophryne) koui,0,27.5,水栖,静水和激流,半水栖,0,11,0,0,,,,,
Megophrys (Ophryophryne) microstoma,0,40,水栖,静水和激流,半水栖,,5,0,0,,,,,
Megophrys (Xenophrys) major,0,73.75,水栖,静水和激流,半水栖,,4,0,0,,,,,
Megophrys (Xenophrys) mangshanensis,0,68,水栖,静水和激流,半水栖,,,0,0,,,,,
Megophrys (Xenophrys) maosonensis,0,,,,,,,,,,,,,
Megophrys (Xenophrys) medogensis,0,62.5,水栖,急流,半水栖,,7~8,0,0,,,,,
Megophrys (Xenophrys) pachyproctus,0,35.775,水栖,静水和激流,半水栖,,7,0,0,,,,,
Megophrys (Xenophrys) parva,0,44,水栖,静水和激流,半水栖,, 5,0,0,,,,,
Megophrys (Xenophrys) zhangi,0,35,水栖,静水和激流,半水栖,0,,0,0,,,,,
Megophrys anlongensis,0,46.4,,静水和激流,半水栖,,,,,,,,,
Megophrys baishanzuensis,0,30.4,,静水和激流,半水栖,,,,,,,,,
Megophrys chishuiensis,0,45.525,,静水和激流,半水栖,0,5,,,,,,,
Megophrys daiyunensis,0,31.4,水栖,静水和激流,半水栖,0,5~6,0,0,,,,,
Megophrys daoji,0,36.275,,,水栖,0,7,,,,,,,
Megophrys feii,0,26.625,,,水栖,,,,0,26.65,10,3.1,,0
Megophrys glandulosa,0,83.5,水栖,静水和激流,半水栖,,3~4,0,0,,,,,
Megophrys jiangi,0,37.95,,静水和激流,半水栖,,,,,,,,,
Megophrys shunhuangensis,0,38.15,水栖,静水,半水栖,,,,0,34.675,10.48,3.535,2,0
Megophrys xianjuensis,0,30.125,,静水和激流,半水栖,,,,,,,,,
Megophrys yeae,0,28.025,水栖,静水和激流,半水栖,,6~10,0,0,28.3,9.05,,,0
Megophrys zhoui,0,23.35,水栖,静水和激流,半水栖,,,0,0,23.35,8.2,,,0
Megrophys congjiangensis,0,35.15,,,半水栖,,6~7,,,,,,,
Oreolalax chuanbeiensis,0,54.75,水栖,静水和激流,陆栖,0,5~6,1,0,54.85,18.45,5.85,2,0
Oreolalax granulosus,0,56.75,水栖,静水和激流,半水栖,0,1~3,0,0,56.9,19.85,5.65,2,0
Oreolalax jingdongensis,0,53.75,水栖,静水和激流,陆栖,0,2~3,0,0,53.45,19.25,5.35,2,0
Oreolalax liangbeiensis,0,56.25,水栖,静水和激流,半水栖,0,5,0,0,56.6,18.45,5.75,2,0
Oreolalax lichuanensis,0,59.25,水栖,静水和激流,半水栖,0,4,0,0,58.9,19.6,6.15,2,0
Oreolalax longmenmontis,0,57.7,水栖,静水和激流,半水栖,,,0,0,56.8,18.5,5.9,1,0
Oreolalax major,0,65.75,水栖,静水和激流,陆栖,0,5~6,1,0,66.05,24.3,7.8,2,0
Oreolalax multipunctatus,0,55.45,水栖,静水和激流,半水栖,0,5,1,0,55.25,17.8,4.4,2,0
Oreolalax nanjiangensis,0,56,水栖,静水和激流,半水栖,0,7,0,0,57.15,21.05,5.25,1,0
Oreolalax omeimontis,0,53.75,水栖,静水和激流,陆栖,0,6,1,0,53.9,19.35,5.75,2,0
Oreolalax pingii,0,48.75,水栖,静水和激流,陆栖,0,5~6,0,0,48.85,16.75,4.65,2,0
Oreolalax popei,0,62,水栖,急流,水栖,0,4,0,0,63.55,24.35,5.85,2,0
Oreolalax puxiongensis,0,44.75,水栖,静水和激流,陆栖,0,,0,0,45.29,14.22,4.49,1,0
Oreolalax rhodostigmatus,0,66,水栖,急流,半水栖,0,4,0,0,66.75,24.85,7.25,2,0
Oreolalax rugosus,0,49,水栖,急流,半水栖,0,4~5,0,0,48.4,16.85,5.3,2,0
Oreolalax schmidti,0,47.25,水栖,急流,水栖,0,5·6,0,0,47.05,15.6,4.45,2,0
Oreolalax weigoldi,0,65,水栖,急流,半水栖,,,,0,58.2,20.7,6.2,2,0
Oreolalax xiangchengensis,0,52.75,水栖,急流,半水栖,0,4~5,0,0,53,18.45,5.7,2,0
Scutiger boulengeri,0,57.75,水栖,急流,半水栖,0,5~8,0,0,57.75,18,3.7,2,0
Scutiger chintingensis,0,48.25,水栖,静水和激流,半水栖,0,5~6,0,0,47.35,14.9,4,2,0
Scutiger glandulatus,0,75,水栖,急流,半水栖,1,,0,0,72.6,23.2,5.55,2,0
Scutiger gongshanensis,0,53.25,水栖,静水和激流,陆栖,1,7,1,0,53.2,19.65,3.7,2,0
Scutiger jiulongensis,0,74.5,水栖,静水和激流,半水栖,0,5~6,0,0,74.9,24.6,5.9,2,0
Scutiger liupanensis,0,50.25,水栖,急流,半水栖,0,4~6,0,0,49.3,14.35,3.95,2,0
Scutiger maculatus,0,67.2,水栖,急流,半水栖,0,,0,0,67.2,44.8,4.9,2,0
Scutiger mammatus,0,70.5,水栖,急流,水栖,0,6~8,0,0,60.95,19.05,4.725,2,0
Scutiger muliensis,0,69,水栖,静水和激流,半水栖,0,5~6,0,0,68.6,21.8,6,2,0
Scutiger ningshanensis,0,47.25,水栖,静水和激流,陆栖,1,5~6,0,0,46,14.9,4.35,2,0
Scutiger nyingchiensis,0,63.75,水栖,急流,陆栖,0,5~6,1,0,63.45,20.6,4.7,2,0
Scutiger pingwuensis,0,73.25,水栖,急流,半水栖,0,6,0,0,73.1,23.25,6.15,2,0
